,resId,siteNo,hiveNo,frameNo,hour,paramText,anMethText,resVal,resUnit,resUnit_desc,resValUncert,resValUncertSD,resQualValue,date
151380,CW207624,3,1,,5,Colony weight,Automatic recording,25.0,G167A,Kilogram,,,,2019-05-25 05:00:00
151383,CW207622,3,1,,3,Colony weight,Automatic recording,25.1,G167A,Kilogram,,,,2019-05-25 03:00:00
151387,CW207620,3,1,,1,Colony weight,Automatic recording,25.1,G167A,Kilogram,,,,2019-05-25 01:00:00
151390,CW207618,3,1,,22,Colony weight,Automatic recording,25.1,G167A,Kilogram,,,,2019-05-24 22:00:00
151394,CW207616,3,1,,20,Colony weight,Automatic recording,25.2,G167A,Kilogram,,,,2019-05-24 20:00:00
151397,CW207614,3,1,,18,Colony weight,Automatic recording,25.3,G167A,Kilogram,,,,2019-05-24 18:00:00
151401,CW207612,3,1,,16,Colony weight,Automatic recording,25.3,G167A,Kilogram,,,,2019-05-24 16:00:00
151404,CW207610,3,1,,14,Colony weight,Automatic recording,24.9,G167A,Kilogram,,,,2019-05-24 14:00:00
151406,CW207609,3,1,,13,Colony weight,Automatic recording,25.3,G167A,Kilogram,,,,2019-05-24 13:00:00
151409,CW207607,3,1,,12,Colony weight,Automatic recording,20.4,G167A,Kilogram,,,,2019-05-24 12:00:00
151412,CW207605,3,1,,10,Colony weight,Automatic recording,20.5,G167A,Kilogram,,,,2019-05-24 10:00:00
151416,CW207603,3,1,,8,Colony weight,Automatic recording,20.3,G167A,Kilogram,,,,2019-05-24 08:00:00
151419,CW207601,3,1,,6,Colony weight,Automatic recording,20.4,G167A,Kilogram,,,,2019-05-24 06:00:00
151423,CW207599,3,1,,3,Colony weight,Automatic recording,20.5,G167A,Kilogram,,,,2019-05-24 03:00:00
151426,CW207597,3,1,,1,Colony weight,Automatic recording,20.5,G167A,Kilogram,,,,2019-05-24 01:00:00
151430,CW207595,3,1,,23,Colony weight,Automatic recording,20.6,G167A,Kilogram,,,,2019-05-23 23:00:00
151433,CW207593,3,1,,21,Colony weight,Automatic recording,20.6,G167A,Kilogram,,,,2019-05-23 21:00:00
151607,CW207591,3,1,,19,Colony weight,Automatic recording,20.7,G167A,Kilogram,,,,2019-05-23 19:00:00
151610,CW207589,3,1,,17,Colony weight,Automatic recording,20.4,G167A,Kilogram,,,,2019-05-23 17:00:00
151614,CW207587,3,1,,15,Colony weight,Automatic recording,20.0,G167A,Kilogram,,,,2019-05-23 15:00:00
151617,CW207585,3,1,,13,Colony weight,Automatic recording,19.8,G167A,Kilogram,,,,2019-05-23 13:00:00
151619,CW207584,3,1,,12,Colony weight,Automatic recording,19.6,G167A,Kilogram,,,,2019-05-23 12:00:00
151622,CW207583,3,1,,11,Colony weight,Automatic recording,19.6,G167A,Kilogram,,,,2019-05-23 11:00:00
151625,CW207581,3,1,,9,Colony weight,Automatic recording,19.8,G167A,Kilogram,,,,2019-05-23 09:00:00
151629,CW207579,3,1,,7,Colony weight,Automatic recording,19.9,G167A,Kilogram,,,,2019-05-23 07:00:00
151632,CW207577,3,1,,4,Colony weight,Automatic recording,19.9,G167A,Kilogram,,,,2019-05-23 04:00:00
151636,CW207575,3,1,,2,Colony weight,Automatic recording,20.0,G167A,Kilogram,,,,2019-05-23 02:00:00
151639,CW207573,3,1,,0,Colony weight,Automatic recording,20.0,G167A,Kilogram,,,,2019-05-23 00:00:00
151643,CW207571,3,1,,22,Colony weight,Automatic recording,20.0,G167A,Kilogram,,,,2019-05-22 22:00:00
151646,CW207569,3,1,,20,Colony weight,Automatic recording,20.0,G167A,Kilogram,,,,2019-05-22 20:00:00
151649,CW207568,3,1,,19,Colony weight,Automatic recording,20.0,G167A,Kilogram,,,,2019-05-22 19:00:00
151652,CW207567,3,1,,18,Colony weight,Automatic recording,20.1,G167A,Kilogram,,,,2019-05-22 18:00:00
151655,CW207565,3,1,,16,Colony weight,Automatic recording,20.0,G167A,Kilogram,,,,2019-05-22 16:00:00
151659,CW207563,3,1,,14,Colony weight,Automatic recording,20.1,G167A,Kilogram,,,,2019-05-22 14:00:00
151662,CW207561,3,1,,12,Colony weight,Automatic recording,20.1,G167A,Kilogram,,,,2019-05-22 12:00:00
151666,CW207559,3,1,,10,Colony weight,Automatic recording,20.2,G167A,Kilogram,,,,2019-05-22 10:00:00
151669,CW207557,3,1,,7,Colony weight,Automatic recording,20.2,G167A,Kilogram,,,,2019-05-22 07:00:00
151673,CW207555,3,1,,5,Colony weight,Automatic recording,20.3,G167A,Kilogram,,,,2019-05-22 05:00:00
151676,CW207553,3,1,,3,Colony weight,Automatic recording,20.3,G167A,Kilogram,,,,2019-05-22 03:00:00
151678,CW207552,3,1,,2,Colony weight,Automatic recording,20.3,G167A,Kilogram,,,,2019-05-22 02:00:00
151681,CW207551,3,1,,1,Colony weight,Automatic recording,20.4,G167A,Kilogram,,,,2019-05-22 01:00:00
151684,CW207549,3,1,,23,Colony weight,Automatic recording,20.5,G167A,Kilogram,,,,2019-05-21 23:00:00
151688,CW207547,3,1,,21,Colony weight,Automatic recording,20.3,G167A,Kilogram,,,,2019-05-21 21:00:00
151691,CW207545,3,1,,19,Colony weight,Automatic recording,20.3,G167A,Kilogram,,,,2019-05-21 19:00:00
151695,CW207543,3,1,,17,Colony weight,Automatic recording,20.3,G167A,Kilogram,,,,2019-05-21 17:00:00
151698,CW207541,3,1,,15,Colony weight,Automatic recording,20.4,G167A,Kilogram,,,,2019-05-21 15:00:00
151702,CW207539,3,1,,13,Colony weight,Automatic recording,20.3,G167A,Kilogram,,,,2019-05-21 13:00:00
151705,CW207537,3,1,,10,Colony weight,Automatic recording,20.5,G167A,Kilogram,,,,2019-05-21 10:00:00
151708,CW207536,3,1,,9,Colony weight,Automatic recording,20.4,G167A,Kilogram,,,,2019-05-21 09:00:00
151711,CW207535,3,1,,8,Colony weight,Automatic recording,20.3,G167A,Kilogram,,,,2019-05-21 08:00:00
151714,CW207533,3,1,,6,Colony weight,Automatic recording,20.4,G167A,Kilogram,,,,2019-05-21 06:00:00
151718,CW207531,3,1,,4,Colony weight,Automatic recording,20.5,G167A,Kilogram,,,,2019-05-21 04:00:00
151891,CW208658,3,1,,7,Colony weight,Automatic recording,22.9,G167A,Kilogram,,,,2019-07-09 07:00:00
151893,CW208657,3,1,,6,Colony weight,Automatic recording,22.9,G167A,Kilogram,,,,2019-07-09 06:00:00
151896,CW208656,3,1,,5,Colony weight,Automatic recording,23.0,G167A,Kilogram,,,,2019-07-09 05:00:00
151899,CW208654,3,1,,2,Colony weight,Automatic recording,23.0,G167A,Kilogram,,,,2019-07-09 02:00:00
151903,CW208652,3,1,,0,Colony weight,Automatic recording,23.1,G167A,Kilogram,,,,2019-07-09 00:00:00
151906,CW208650,3,1,,22,Colony weight,Automatic recording,23.1,G167A,Kilogram,,,,2019-07-08 22:00:00
151910,CW208648,3,1,,20,Colony weight,Automatic recording,23.2,G167A,Kilogram,,,,2019-07-08 20:00:00
151913,CW208646,3,1,,18,Colony weight,Automatic recording,22.9,G167A,Kilogram,,,,2019-07-08 18:00:00
151917,CW208644,3,1,,16,Colony weight,Automatic recording,22.4,G167A,Kilogram,,,,2019-07-08 16:00:00
151920,CW208642,3,1,,14,Colony weight,Automatic recording,22.6,G167A,Kilogram,,,,2019-07-08 14:00:00
151923,CW208641,3,1,,13,Colony weight,Automatic recording,22.9,G167A,Kilogram,,,,2019-07-08 13:00:00
151926,CW208640,3,1,,12,Colony weight,Automatic recording,23.1,G167A,Kilogram,,,,2019-07-08 12:00:00
151929,CW208638,3,1,,10,Colony weight,Automatic recording,23.1,G167A,Kilogram,,,,2019-07-08 10:00:00
